user_id,gym_id,login_ts,logout_ts
3804,1,1700032393,1700035846
2088,1,1700393176,1700399344
4015,2,1700474978,1700482145
3577,2,1700732715,1700735262
4627,1,1701066529,1701072056
3699,2,1701211365,1701213915
2705,2,1701322824,1701328832
2705,2,1701396440,1701399359
1207,2,1701417778,1701424386
4937,2,1701418404,1701420338
4015,2,1701696822,1701702917
4937,3,1702017888,1702020321
1952,2,1702034822,1702038659
3219,1,1702116787,1702123882
1594,1,1702203608,1702205716
1053,1,1702403441,1702410608
4837,5,1702448888,1702451294
4732,4,1702450363,1702454527
4837,3,1702484867,1702491912
2304,2,1702496654,1702503242
4937,4,1702623730,1702629548
4732,5,1702631579,1702634348
2927,1,1702746331,1702751540
4952,1,1702823962,1702827225
3349,3,1702902771,1702908139
1585,2,1702970102,1702975150
3630,4,1703010799,1703017229
2576,3,1703110067,1703113262
1613,5,1703340492,1703345444
3349,5,1703358624,1703362148
4980,1,1703428459,1703430475
2255,1,1703524026,1703530927
2961,4,1703548799,1703553802
3223,5,1703565676,1703568398
1724,1,1703613956,1703616920
1260,2,1703643900,1703649812
2304,3,1703655659,1703662376
1486,3,1703690252,1703696928
1165,2,1703747069,1703752556
3100,1,1703809008,1703812442
1232,3,1703827008,1703833768
2072,1,1703873577,1703875451
2927,3,1703950279,1703956220
2719,1,1703952651,1703958956
1053,2,1703962928,1703964804
2165,1,1704005185,1704009998
1437,5,1704030482,1704036109
3615,1,1704045169,1704049034
4959,5,1704102516,1704104363
3630,5,1704111255,1704115366
3100,4,1704121675,1704123999
4018,1,1704207471,1704214245
2626,4,1704259124,1704265080
4736,5,1704274953,1704277416
2626,3,1704312259,1704314726
1878,5,1704333079,1704339708
2255,3,1704359891,1704363639
2544,2,1704421891,1704428361
3270,5,1704495315,1704499189
1165,3,1704571418,1704577977
2358,3,1704573552,1704577034
4605,2,1704592922,1704596331
4837,2,1704640215,1704647409
4579,1,1704658279,1704661116
2088,2,1704678263,1704682699
2787,4,1704686934,1704688889
2522,4,1704697296,1704701162
2576,5,1704732883,1704738790
2255,1,1704741215,1704747078
2563,4,1704778547,1704780976
4810,3,1704820534,1704827368
2686,3,1705017107,1705021048
3666,3,1705034929,1705038870
2033,3,1705036444,1705043602
4959,4,1705048897,1705052784
4284,5,1705112434,1705119521
1159,3,1705165207,1705170383
4944,5,1705174503,1705180999
2085,4,1705208259,1705211815
4164,1,1705209121,1705215552
4015,3,1705233589,1705235700
4040,3,1705233630,1705238610
3119,3,1705286135,1705288132
2262,4,1705289888,1705296546
4067,2,1705299264,1705305040
1285,2,1705407547,1705410788
3486,1,1705437338,1705441742
1587,5,1705441817,1705448577
1837,1,1705453217,1705458124
4674,4,1705463617,1705470252
2861,1,1705473243,1705477843
2967,2,1705482593,1705485125
3010,2,1705492797,1705496937
3898,1,1705522857,1705526047
3732,1,1705529354,1705532044
4688,4,1705596941,1705603342
2576,1,1705614727,1705617229
2968,5,1705626422,1705631942
2033,4,1705653086,1705658663
3109,2,1705713639,1705718149
2020,2,1705716310,1705720878
2961,5,1705720648,1705725262
4098,5,1705782510,1705789637
2888,1,1705816203,1705821671
2033,2,1706003559,1706009233
1207,3,1706011372,1706015530
4837,5,1706011962,1706018990
3942,4,1706057000,1706060158
1416,2,1706060422,1706065417
2227,2,1706091329,1706095754
1537,5,1706099183,1706101089
3707,3,1706115611,1706121429
1551,1,1706118264,1706123391
1053,2,1706134633,1706139865
1776,3,1706148608,1706150565
2619,2,1706235921,1706241635
4735,3,1706252533,1706259063
2425,3,1706354407,1706358566
2033,5,1706354544,1706360742
1647,2,1706371582,1706377280
2921,5,1706410379,1706414622
2335,5,1706443875,1706450502
1285,1,1706469982,1706471990
3026,4,1706478760,1706482275
2810,4,1706544466,1706548720
1878,5,1706554354,1706560360
1704,2,1706560414,1706567089
1627,3,1706570850,1706576705
4674,5,1706591560,1706595540
2225,4,1706611541,1706618541
1394,5,1706618416,1706624666
2271,5,1706630500,1706632453
4959,1,1706637328,1706643805
1394,1,1706657202,1706662772
1463,2,1706667628,1706670866
3916,4,1706718699,1706725697
4443,4,1706749932,1706755243
3026,4,1706783807,1706788496
2796,3,1706785516,1706792486
2420,5,1706789280,1706791883
3349,4,1706791586,1706798511
1141,3,1706803689,1706806270
1349,5,1706821988,1706827590
4322,5,1706822834,1706827075
2600,3,1706847618,1706850118
3140,4,1706848161,1706850221
2420,3,1706868320,1706871672
4098,3,1706911524,1706916317
2833,4,1706925199,1706928808
4688,3,1706936449,1706938581
4010,4,1706948036,1706950322
2019,1,1706957858,1706964783
4164,2,1706996100,1706998871
3386,1,1707012864,1707015481
3219,5,1707016219,1707018304
1837,1,1707049027,1707054376
